PRIMARY_TAG,Date,Well,OilDay,Injgas,AnnulusA,AnnulusB,WHP,WaterDay,Choke,TotLiq,,
0,01-01-2015 00:00,A,67,5918.509157,68.03641963,78.42936992,28.87263889,0,10,67,,
8,02-01-2015 00:00,A,67,5921.934777,67.29963194,78.10724948,28.83534722,0,11,67,,
16,03-01-2015 00:00,A,66,5946.132794,67.26075634,77.40065321,28.78625,0,11,66,,
24,04-01-2015 00:00,A,66,5950.207,68.01932637,76.18234528,28.74413602,0,11,66,,
32,05-01-2015 00:00,A,66,5880.352341,68.03384182,74.71154472,28.76013889,0,11,66,,
40,06-01-2015 00:00,A,66,5873.647671,67.89195848,76.03252093,28.75659722,0,11,66,,61.49
48,07-01-2015 00:00,A,66,5868.843361,67.40210077,75.63780277,28.85930556,0,11,66,,74
56,08-01-2015 00:00,A,66,5898.130726,67.84576627,76.02537565,28.7388619,0,11,66,,24
64,09-01-2015 00:00,A,66,5907.288963,67.40661919,76.40020151,28.69729167,0,11,66,,62
72,10-01-2015 00:00,A,66,5949.695424,67.35254944,76.53075192,28.71294452,0,10,66,,
80,11-01-2015 00:00,A,66,5928.005783,67.71990048,75.53648545,28.61952278,0,10,66,,-0.244406207
88,12-01-2015 00:00,A,68,5901.328351,68.1967086,76.87234024,28.58930556,0,10,68,,
96,13-01-2015 00:00,A,68,5974.698381,67.91617813,76.97863337,28.67340278,0,8,68,,
104,14-01-2015 00:00,A,68,5899.173002,67.65669787,76.02135237,28.62,0,8,68,,
112,15-01-2015 00:00,A,68,5875.539716,67.97461785,75.41382588,28.64559334,0,8,68,,
120,16-01-2015 00:00,A,68,5873.341897,68.20705252,74.21809125,28.61375,0,8,68,,
128,17-01-2015 00:00,A,68,5907.532922,67.96233818,73.86932292,28.45729167,0,8,68,,
136,18-01-2015 00:00,A,68,5889.833488,68.30180736,75.68855685,28.36030534,0,8,68,,
144,19-01-2015 00:00,A,68,5949.316526,67.85252165,77.38865525,28.42847222,0,8,68,,
151,20-01-2015 00:00,A,68,5879.74877,67.40856113,76.20196184,28.53527778,0,8,68,,
158,21-01-2015 00:00,A,68,5983.19322,67.90451263,74.62387142,29.41076389,0,8,68,,
165,22-01-2015 00:00,A,68,5981.315706,67.85627434,73.63956312,29.39541139,0,8,68,,
172,23-01-2015 00:00,A,68,5900.657446,67.48807465,74.6713224,28.52743056,0,8,68,,
179,24-01-2015 00:00,A,68,5891.787378,67.42586732,74.69305185,28.54574022,0,8,68,,
186,25-01-2015 00:00,A,66,5910.445176,67.48663531,73.80478267,28.4979021,0,8,66,,
193,26-01-2015 00:00,A,66,5970.170455,67.63694692,75.2775186,28.44705066,0,8,66,,
200,27-01-2015 00:00,A,66,5907.625184,68.30789188,75.78096651,28.42659722,0,8,66,,
207,28-01-2015 00:00,A,66,5967.137338,67.70690703,74.90926527,28.46215278,0,8,66,,
214,29-01-2015 00:00,A,66,5900.336312,68.3965093,74.20924833,28.32449688,0,8,66,,
221,30-01-2015 00:00,A,66,5960.899851,67.88449264,75.74435775,28.31784722,0,8,66,,
228,31-01-2015 00:00,A,66,5920.620818,68.35846959,77.10878836,28.33229167,0,8,66,,
235,01-02-2015 00:00,A,66,5973.902166,68.2001809,77.00216189,28.40215128,0,8,66,,
242,02-02-2015 00:00,A,66,5923.086053,68.03031302,76.32558112,28.39069444,0,8,66,,
249,03-02-2015 00:00,A,66,5936.324891,68.40939664,75.78246358,28.34708333,0,8,66,,
256,04-02-2015 00:00,A,66,5925.226278,67.79839295,74.52488458,28.30333333,0,8,66,,
263,05-02-2015 00:00,A,66,5942.958775,67.47717445,74.26687804,28.35634976,0,8,66,,
270,06-02-2015 00:00,A,66,5912.058399,67.48050612,75.49188433,28.12006944,0,8,66,,
277,07-02-2015 00:00,A,66,5914.058863,68.27612851,74.08071674,28.08048611,0,8,66,,
284,08-02-2015 00:00,A,66,5897.485421,68.03228249,76.75572443,28.07640527,0,8,66,,
291,09-02-2015 00:00,A,66,5908.521313,67.67799141,76.78751914,28.10722222,0,8,66,,
298,10-02-2015 00:00,A,66,5915.402999,68.13903424,76.96128184,27.92291667,0,8,66,,
305,11-02-2015 00:00,A,74,6599.107948,68.23984059,76.5589998,27.50582929,0,8,74,,
312,12-02-2015 00:00,A,70,6958.560258,67.97127205,75.23522795,27.31138889,0,8,70,,
319,13-02-2015 00:00,A,70,6957.992655,67.47951829,79.13313258,27.40430556,0,8,70,,
326,14-02-2015 00:00,A,70,6937.576063,67.67321742,78.24952009,27.34330326,0,8,70,,
333,15-02-2015 00:00,A,70,6896.904985,67.94304856,76.67276154,27.31430556,0,8,70,,
340,16-02-2015 00:00,A,70,6885.219917,67.44351295,75.07092516,26.90277778,0,8,70,,
347,17-02-2015 00:00,A,70,6933.70796,67.58513081,74.44812511,27.1333796,0,8,70,,
354,18-02-2015 00:00,A,70,6907.639628,67.69207717,76.47198543,27.00854167,0,8,70,,
361,19-02-2015 00:00,A,70,6977.484702,67.97446092,79.64572687,27.22895833,0,8,70,,
368,20-02-2015 00:00,A,70,6908.632,67.94998486,76.63047318,27.14302568,0,8,70,,
375,21-02-2015 00:00,A,70,6886.815175,67.24193328,76.99033082,26.96972222,0,8,70,,
382,22-02-2015 00:00,A,70,6956.362929,67.25083746,77.96316896,27.18770833,0,8,70,,
389,23-02-2015 00:00,A,70,6913.296151,68.04306145,79.07450031,27.28841083,0,8,70,,
396,24-02-2015 00:00,A,70,6962.057746,67.12580178,77.49512536,27.303125,0,8,70,,
403,25-02-2015 00:00,A,70,6937.562674,68.04757836,78.15524384,27.21333333,0,8,70,,
410,26-02-2015 00:00,A,70,6882.624353,67.93939202,79.63460268,27.30451389,0,8,70,,
417,27-02-2015 00:00,A,70,6882.802559,67.53005705,79.09999038,27.51721027,0,8,70,,
424,28-02-2015 00:00,A,70,6919.807881,68.03411591,75.95191072,27.66548611,0,8,70,,
431,01-03-2015 00:00,A,70,6939.443173,67.11129914,75.12229982,27.60541667,0,8,70,,
438,02-03-2015 00:00,A,70,6878.135025,67.18147242,76.87825098,27.58119362,0,8,70,,
446,03-03-2015 00:00,A,67,6944.674004,67.25491563,76.13206313,27.58138889,0,8,67,,
