PRIMARY_TAG,Date,Well,OilDay,Injgas,AnnulusA,AnnulusB,WHP,WaterDay,Choke,TotLiq
0,2015-01-01 00:00:00,A,67,5918.509157,68.03641963,78.42936992,28.87263889,0,10,67
1,2015-01-01 00:00:00,B,50,13363.38908,76.00921556,83.30951893,27.820625,25,12,75
2,2015-01-01 00:00:00,C,33,14987.93366,79.539417,78.6334412,35.00451389,30,9,63
3,2015-01-01 00:00:00,D,29,19474.06357,74.73556077,117.1334694,31.36833333,61,11,90
4,2015-01-01 00:00:00,F,23,16507.52731,87.88308803,86.53801359,37.40215278,40,9,63
5,2015-01-01 00:00:00,E,83,11015.17436,81.51357663,90.58930884,36.23131944,8,10,91
6,2015-01-01 00:00:00,G,78,25540.13914,75.82002376,85.15136136,27.45131944,73,16,151
7,2015-01-01 00:00:00,H,84,20028.05826,75.90979733,75.78350215,27.51715278,47,14,131
8,2015-01-02 00:00:00,A,67,5921.934777,67.29963194,78.10724948,28.83534722,0,11,67
9,2015-01-02 00:00:00,B,58,13372.50421,75.8611334,84.23599385,27.70895833,18,12,76
10,2015-01-02 00:00:00,C,33,14947.80643,79.22908744,79.37950416,34.78166667,30,9,63
11,2015-01-02 00:00:00,D,29,19471.38005,75.59963589,114.5567431,31.50652778,61,11,90
12,2015-01-02 00:00:00,F,30,16545.81763,87.75313355,87.92724716,36.52277778,32,9,62
13,2015-01-02 00:00:00,E,83,11022.38397,81.99675035,88.55861816,37.06534722,8,9,91
14,2015-01-02 00:00:00,G,78,25575.52617,76.29464672,82.72037271,27.153125,73,16,151
15,2015-01-02 00:00:00,H,84,19966.94693,76.46437945,78.18071503,27.54034722,47,13,131
16,2015-01-03 00:00:00,A,66,5946.132794,67.26075634,77.40065321,28.78625,0,11,66
17,2015-01-03 00:00:00,B,58,13373.25326,76.1041851,83.32149446,27.74138889,18,12,76
18,2015-01-03 00:00:00,C,33,14985.49075,78.78151289,77.31973869,34.82611111,30,9,63
19,2015-01-03 00:00:00,D,32,19441.25525,75.24885081,115.3634257,31.34375,41,11,73
20,2015-01-03 00:00:00,F,30,16467.69057,88.28366305,87.09054245,36.48319444,32,9,62
21,2015-01-03 00:00:00,E,83,10986.22091,81.30154108,91.32759991,36.93534722,9,9,92
22,2015-01-03 00:00:00,G,78,25525.01195,75.99427908,81.6637111,27.22680556,73,16,151
23,2015-01-03 00:00:00,H,83,19997.68178,76.59822083,78.47867205,27.95270833,44,13,127
24,2015-01-04 00:00:00,A,66,5950.207,68.01932637,76.18234528,28.74413602,0,11,66
25,2015-01-04 00:00:00,B,58,13379.9239,75.88164345,83.47942179,27.60388619,18,12,76
26,2015-01-04 00:00:00,C,33,14931.68851,78.32744632,79.7380818,34.58986815,30,9,63
27,2015-01-04 00:00:00,D,32,19468.89416,75.84794657,113.4627022,31.37626648,41,11,73
28,2015-01-04 00:00:00,F,30,16484.8826,87.91588768,86.90094544,36.54850798,32,9,62
29,2015-01-04 00:00:00,E,83,10963.74184,81.53874031,90.15639735,36.68348369,9,11,92
30,2015-01-04 00:00:00,G,78,25536.85098,75.96869969,81.28658099,27.57973629,73,16,151
31,2015-01-04 00:00:00,H,83,20000.42707,76.49394746,77.91302475,27.72532963,44,13,127
32,2015-01-05 00:00:00,A,66,5880.352341,68.03384182,74.71154472,28.76013889,0,11,66
33,2015-01-05 00:00:00,B,58,13455.0698,75.31262785,83.39641567,27.61076389,18,12,76
34,2015-01-05 00:00:00,C,33,14991.0259,78.18271611,80.62266058,34.50729167,30,9,63
35,2015-01-05 00:00:00,D,32,19402.39046,75.54120162,110.6541667,31.38548611,41,11,73
36,2015-01-05 00:00:00,F,30,16540.67225,87.10702587,87.6822418,35.95965278,32,9,62
37,2015-01-05 00:00:00,E,83,10794.79611,76.7927805,84.00179747,33.78861111,9,11,92
38,2015-01-05 00:00:00,G,83,25482.67888,75.34809349,84.54923125,27.77743056,63,16,146
39,2015-01-05 00:00:00,H,83,20045.43627,76.29682081,76.83318202,27.548125,44,13,127
40,2015-01-06 00:00:00,A,66,5873.647671,67.89195848,76.03252093,28.75659722,0,11,66
41,2015-01-06 00:00:00,B,58,13349.92584,75.56609794,83.65657581,27.84694444,18,12,76
42,2015-01-06 00:00:00,C,33,14976.66388,78.73209781,79.06850932,34.68381944,30,9,63
43,2015-01-06 00:00:00,D,32,19459.52687,75.48945064,110.5977592,31.35909722,41,11,73
44,2015-01-06 00:00:00,F,30,16525.72935,88.20264043,86.68763075,36.19451389,32,9,62
45,2015-01-06 00:00:00,E,81,10962.06152,80.32790348,86.23663044,36.73590278,7,11,88
46,2015-01-06 00:00:00,G,83,25472.78106,75.01972684,88.74008913,27.90729167,63,16,146
47,2015-01-06 00:00:00,H,83,19977.10655,76.76183107,78.28916322,28.29048611,44,12,127
48,2015-01-07 00:00:00,A,66,5868.843361,67.40210077,75.63780277,28.85930556,0,11,66
49,2015-01-07 00:00:00,B,58,13456.47255,75.3982669,83.27370515,27.83125,18,12,76
50,2015-01-07 00:00:00,C,33,14963.04546,78.61815848,79.92474777,34.47972222,30,9,63
51,2015-01-07 00:00:00,D,32,19460.46115,75.32974474,112.0737855,31.45798611,41,11,73
52,2015-01-07 00:00:00,F,30,16537.45663,87.48801076,88.12813555,35.87069444,32,9,62
53,2015-01-07 00:00:00,E,83,11057.42068,79.1519162,93.58088537,36.72305556,7,11,90
54,2015-01-07 00:00:00,G,83,25550.40974,75.44027111,87.43667181,27.75256944,63,16,146
55,2015-01-07 00:00:00,H,83,19964.54135,76.2664678,77.61697103,28.83534722,44,12,127
56,2015-01-08 00:00:00,A,66,5898.130726,67.84576627,76.02537565,28.7388619,0,11,66
57,2015-01-08 00:00:00,B,58,13385.46538,75.86234781,82.46218529,27.78001388,18,12,76
58,2015-01-08 00:00:00,C,33,14919.76831,79.06867547,79.27285101,34.51145038,30,9,63
59,2015-01-08 00:00:00,D,32,19458.85535,74.8902774,108.9985292,31.53768217,41,11,73
60,2015-01-08 00:00:00,F,30,16490.06666,87.97380993,88.94770475,35.99139486,32,9,62
61,2015-01-08 00:00:00,E,84,11055.54911,80.21726938,102.2310129,35.48077724,7,11,91
62,2015-01-08 00:00:00,G,83,25566.5931,76.1993645,86.22544498,27.37612769,63,16,146
63,2015-01-08 00:00:00,H,83,19961.21813,76.45062335,76.91371566,28.72859126,44,11,127
64,2015-01-09 00:00:00,A,66,5907.288963,67.40661919,76.40020151,28.69729167,0,11,66
65,2015-01-09 00:00:00,B,58,13437.36386,75.82215502,83.73452126,27.78111111,18,12,76
66,2015-01-09 00:00:00,C,33,14921.49183,78.71739415,79.30688654,34.33930556,30,9,63
67,2015-01-09 00:00:00,D,32,19405.19543,75.09953977,109.1317562,31.35326389,41,11,73
68,2015-01-09 00:00:00,F,30,16548.02183,87.2210241,88.14919605,35.96680556,32,9,62
69,2015-01-09 00:00:00,E,84,10979.44485,80.01218933,103.6660103,35.85673611,7,11,91
70,2015-01-09 00:00:00,G,83,25591.80628,76.01584517,85.91939934,27.19416667,63,16,146
71,2015-01-09 00:00:00,H,83,19988.20652,76.56146449,76.97989776,28.56173611,44,11,127
72,2015-01-10 00:00:00,A,66,5949.695424,67.35254944,76.53075192,28.71294452,0,10,66
73,2015-01-10 00:00:00,B,58,13374.72525,75.32131976,82.27562811,27.7401138,18,12,76
74,2015-01-10 00:00:00,C,33,14971.77159,78.73212307,78.50346325,34.26536273,30,9,63
75,2015-01-10 00:00:00,D,32,19439.63629,75.39749886,110.0584376,31.32183499,41,11,73
76,2015-01-10 00:00:00,F,30,16507.47774,86.99158772,88.52640922,35.97446657,32,9,62
77,2015-01-10 00:00:00,E,84,10974.39243,80.89870759,100.4353995,36.19345661,7,11,91
78,2015-01-10 00:00:00,G,83,25548.93141,75.44543737,82.80325125,27.19253201,63,16,146
79,2015-01-10 00:00:00,H,83,20033.39246,76.5821166,76.87221426,28.31422475,44,9,127
80,2015-01-11 00:00:00,A,66,5928.005783,67.71990048,75.53648545,28.61952278,0,10,66
81,2015-01-11 00:00:00,B,58,13414.18794,75.88737786,81.54245175,27.86977585,18,12,76
82,2015-01-11 00:00:00,C,33,14974.99376,77.93111904,78.40941899,32.97765727,30,9,63
83,2015-01-11 00:00:00,D,32,19438.55086,75.24695732,111.4246099,31.28336949,41,11,73
84,2015-01-11 00:00:00,F,30,16535.65018,88.04625448,87.2916207,36.12321041,32,9,62
85,2015-01-11 00:00:00,E,84,10997.13673,81.07303318,98.25909465,37.9109906,7,11,91
86,2015-01-11 00:00:00,G,83,25545.86809,75.79734977,79.50663193,26.86109906,63,16,146
87,2015-01-11 00:00:00,H,83,19961.96777,75.93278578,78.5797584,28.19942155,44,9,127
88,2015-01-12 00:00:00,A,68,5901.328351,68.1967086,76.87234024,28.58930556,0,10,68
89,2015-01-12 00:00:00,B,58,13352.37766,75.99841612,83.36083771,28.14263889,18,12,76
90,2015-01-12 00:00:00,C,33,14913.9505,78.19501873,79.33720946,33.43972222,30,9,63
91,2015-01-12 00:00:00,D,32,19424.22991,75.08626212,108.9932755,31.43027778,41,11,73
92,2015-01-12 00:00:00,F,30,16511.64635,86.95603983,88.44229222,36.08194444,32,9,62
93,2015-01-12 00:00:00,E,79,10989.54653,81.34614874,95.00898656,37.82652778,12,11,91
94,2015-01-12 00:00:00,G,74,25581.47803,76.01790414,79.62315837,26.74493056,67,16,141
95,2015-01-12 00:00:00,H,83,19958.04472,76.63001279,78.58382803,28.1775,40,8,123
96,2015-01-13 00:00:00,A,68,5974.698381,67.91617813,76.97863337,28.67340278,0,8,68
97,2015-01-13 00:00:00,B,65,13377.76742,76.2962459,82.74139811,28.23534722,13,8,78
98,2015-01-13 00:00:00,C,29,14961.82849,78.73464713,77.68999268,33.43305556,37,8,66
99,2015-01-13 00:00:00,D,32,19439.0751,74.59771478,108.0229932,31.316875,41,8,73
100,2015-01-13 00:00:00,F,29,16476.83152,86.88991634,87.22890415,35.95333333,37,8,66
101,2015-01-13 00:00:00,E,79,10956.27645,81.73324259,96.67406955,37.41868056,12,8,91
102,2015-01-13 00:00:00,G,74,25583.15973,75.49018076,78.61049102,26.793125,67,8,141
103,2015-01-13 00:00:00,H,83,19954.10361,76.4995143,75.25212032,28.04666667,40,8,123
104,2015-01-14 00:00:00,A,68,5899.173002,67.65669787,76.02135237,28.62,0,8,68
105,2015-01-14 00:00:00,B,65,13440.5843,75.98768812,83.01520897,28.12736111,13,8,78
106,2015-01-14 00:00:00,C,29,14981.04013,78.03708826,77.15630189,33.333125,37,8,66
107,2015-01-14 00:00:00,D,27,19390.75222,75.11635711,107.9841817,31.24916667,48,8,75
108,2015-01-14 00:00:00,F,29,16470.44118,87.3589244,87.15597105,36.00736111,37,8,66
109,2015-01-14 00:00:00,E,79,10962.9591,81.23095586,95.26311714,37.55673611,12,8,91
110,2015-01-14 00:00:00,G,74,25543.25351,75.84396088,75.04938026,26.98631944,67,8,141
111,2015-01-14 00:00:00,H,83,19972.02329,75.78629449,76.69407295,28.49256944,40,8,123
112,2015-01-15 00:00:00,A,68,5875.539716,67.97461785,75.41382588,28.64559334,0,8,68
113,2015-01-15 00:00:00,B,65,13384.22915,76.36355843,84.47604404,28.09146426,13,8,78
114,2015-01-15 00:00:00,C,29,14965.62208,77.88812249,79.84788773,33.15718251,37,8,66
115,2015-01-15 00:00:00,D,27,19400.58026,75.55458028,104.7363063,31.39847328,48,8,75
116,2015-01-15 00:00:00,F,29,16480.65006,87.58803433,86.8065155,36.04739764,37,8,66
117,2015-01-15 00:00:00,E,79,10911.76964,81.12762437,95.18379842,36.68278973,12,8,91
118,2015-01-15 00:00:00,G,74,25560.98271,75.39986412,73.73504267,26.81769604,67,8,141
119,2015-01-15 00:00:00,H,83,19956.57248,76.58037419,78.176457,28.52706454,40,8,123
120,2015-01-16 00:00:00,A,68,5873.341897,68.20705252,74.21809125,28.61375,0,8,68
121,2015-01-16 00:00:00,B,65,13382.28159,75.87179158,84.1712962,28.17951389,13,8,78
122,2015-01-16 00:00:00,C,29,14895.98877,78.21171686,79.98838305,33.02770833,37,8,66
123,2015-01-16 00:00:00,D,27,19406.85123,75.28530744,103.9174066,31.28493056,48,8,75
124,2015-01-16 00:00:00,F,29,16532.46758,87.10045487,84.51654175,36.14055556,37,8,66
125,2015-01-16 00:00:00,E,71,10981.117,81.06374338,92.17366222,36.20333333,17,8,88
126,2015-01-16 00:00:00,G,74,25466.86245,74.68793324,73.67414536,27.135,67,8,141
127,2015-01-16 00:00:00,H,83,20027.39719,75.99391295,77.33482756,28.34145833,40,8,123
128,2015-01-17 00:00:00,A,68,5907.532922,67.96233818,73.86932292,28.45729167,0,8,68
129,2015-01-17 00:00:00,B,65,13397.8756,76.01154538,84.09615314,28.02444444,13,8,78
130,2015-01-17 00:00:00,C,29,14929.58545,77.44978942,80.10780923,32.81819444,37,8,66
131,2015-01-17 00:00:00,D,27,19483.0055,74.8224171,104.0175348,31.12701389,48,8,75
132,2015-01-17 00:00:00,F,29,16490.81343,86.74768674,88.52336204,35.82326389,37,8,66
133,2015-01-17 00:00:00,E,71,10999.91178,80.94767309,92.9610208,35.77083333,17,8,88
134,2015-01-17 00:00:00,G,74,25505.64375,74.81828302,74.22137351,26.99243056,67,8,141
135,2015-01-17 00:00:00,H,83,20020.03933,76.55722812,77.35515794,28.26673611,40,8,123
136,2015-01-18 00:00:00,A,68,5889.833488,68.30180736,75.68855685,28.36030534,0,8,68
137,2015-01-18 00:00:00,B,65,13437.7482,75.92399326,83.59726073,28.02380291,13,8,78
138,2015-01-18 00:00:00,C,29,14977.17197,77.93920709,77.51643044,32.84198473,37,8,66
139,2015-01-18 00:00:00,D,27,19438.52323,74.91904627,103.6913895,31.07362942,48,8,75
140,2015-01-18 00:00:00,F,29,16529.07234,86.91717186,87.99782854,35.85405968,37,8,66
141,2015-01-18 00:00:00,E,71,12059.32219,81.06031731,81.93357912,31.12678695,17,8,88
142,2015-01-18 00:00:00,G,74,25552.11906,75.28784908,71.57585954,26.65565579,67,8,141
143,2015-01-18 00:00:00,H,83,20031.24474,76.54613677,77.90540481,28.59042332,40,8,123
144,2015-01-19 00:00:00,A,68,5949.316526,67.85252165,77.38865525,28.42847222,0,8,68
145,2015-01-19 00:00:00,B,65,13364.9496,75.65139663,84.11363455,28.01055556,13,8,78
146,2015-01-19 00:00:00,C,31,14934.71573,77.43300335,77.37340981,32.62840278,35,8,66
147,2015-01-19 00:00:00,D,31,19418.46818,75.19273841,102.3485444,31.23944444,45,8,76
148,2015-01-19 00:00:00,F,29,16519.43448,87.39678972,84.95297165,36.000625,37,8,66
149,2015-01-19 00:00:00,G,74,25543.40009,75.5616516,70.50292985,26.59166667,67,8,141
150,2015-01-19 00:00:00,H,83,19982.62276,76.82107777,75.44990838,28.740625,40,8,123
151,2015-01-20 00:00:00,A,68,5879.74877,67.40856113,76.20196184,28.53527778,0,8,68
152,2015-01-20 00:00:00,B,65,13334.96266,76.02311087,82.48276631,28.08951389,13,8,78
153,2015-01-20 00:00:00,C,31,14943.54814,77.57094556,78.89556559,32.58965278,35,8,66
154,2015-01-20 00:00:00,D,31,19287.34366,74.36214116,102.897609,31.62423611,45,8,76
155,2015-01-20 00:00:00,F,29,16504.59812,86.87738849,86.80673836,35.61430556,37,8,66
156,2015-01-20 00:00:00,G,74,25418.22445,74.8094874,72.19036631,26.54993056,67,8,141
157,2015-01-20 00:00:00,H,83,20009.76402,76.03933178,78.61327014,28.58125,40,8,123
158,2015-01-21 00:00:00,A,68,5983.19322,67.90451263,74.62387142,29.41076389,0,8,68
